"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 12:00:34 IST 2023","Tue Nov 07 12:00:36 IST 2023","1560","Default Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.CreateBooking","com.restfulbooker.CRUD.CreateBooking","setConfig","setConfig",""
"passed","Tue Nov 07 17:15:24 IST 2023","Tue Nov 07 17:15:29 IST 2023","4537","All Test Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.UpdateBooking","com.restfulbooker.CRUD.UpdateBooking","updateCreate_Booking","updateCreate_Booking","TC#3:Get the booking Id "
"passed","Tue Nov 07 17:15:33 IST 2023","Tue Nov 07 17:15:34 IST 2023","1559","All Test Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.CreateBooking","com.restfulbooker.CRUD.CreateBooking","createBooking","createBooking","TC#1:Create the booking"
"passed","Tue Nov 07 17:15:29 IST 2023","Tue Nov 07 17:15:32 IST 2023","2766","All Test Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.UpdateBooking","com.restfulbooker.CRUD.UpdateBooking","updateBooking","updateBooking","TC#2:Update the booking"
"passed","Mon Nov 06 22:25:04 IST 2023","Mon Nov 06 22:25:04 IST 2023","57","Default Suite","RestfulBooker_APItesting","org.restfulbooker.test.base.BaseTest","org.restfulbooker.test.base.BaseTest","setConfig","setConfig",""
"passed","Tue Nov 07 11:28:29 IST 2023","Tue Nov 07 11:28:32 IST 2023","3031","Default Suite","RestfulBooker_APItesting","org.restfulbooker.CRUD.CreateBooking","org.restfulbooker.CRUD.CreateBooking","setConfig","setConfig",""
"passed","Tue Nov 07 17:15:32 IST 2023","Tue Nov 07 17:15:33 IST 2023","1257","All Test Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.UpdateBooking","com.restfulbooker.CRUD.UpdateBooking","deleteBooking","deleteBooking","TC#3:Delete the booking"
"passed","Tue Nov 07 17:15:34 IST 2023","Tue Nov 07 17:15:36 IST 2023","1407","All Test Suite","RestfulBooker_APItesting","com.restfulbooker.CRUD.CreateBooking","com.restfulbooker.CRUD.CreateBooking","createBooking_Negative","createBooking_Negative","TC#2:Verify the booking  is created without giving payload"
"passed","Tue Nov 07 11:53:39 IST 2023","Tue Nov 07 11:53:43 IST 2023","3668","Default Suite","RestfulBooker_APItesting","org.restfulbooker.CRUD.CreateBooking","org.restfulbooker.CRUD.CreateBooking","createBooking","createBooking","TC#1:Create the booking"
"passed","Tue Nov 07 14:04:38 IST 2023","Tue Nov 07 14:04:42 IST 2023","3904","Default Suite","RestfulBooker_APItesting","com.restfulbooker.test.base.BaseTest","com.restfulbooker.test.base.BaseTest","createToken","createToken",""
"passed","Tue Nov 07 11:47:44 IST 2023","Tue Nov 07 11:47:47 IST 2023","3063","Default Suite","RestfulBooker_APItesting","com.restfulbooker.test.base.BaseTest","com.restfulbooker.test.base.BaseTest","setConfig","setConfig",""
"broken","Tue Nov 07 11:28:32 IST 2023","Tue Nov 07 11:28:32 IST 2023","44","Default Suite","RestfulBooker_APItesting","org.restfulbooker.CRUD.CreateBooking","org.restfulbooker.CRUD.CreateBooking","create_Booking","create_Booking","TC#1:Create the booking"
